 ,Label,Area,Mean,X,Y
1,DSC_0264.JPG,0,115,436.000,836.000
2,DSC_0264.JPG,0,118,591.500,615.500
3,DSC_0264.JPG,0,159,659.500,487.500
4,DSC_0264.JPG,0,106,479.500,687.500
5,DSC_0264.JPG,0,182,707.500,699.500
6,DSC_0264.JPG,0,87,863.500,411.500
7,DSC_0264.JPG,0,163,1179.500,379.500
8,DSC_0264.JPG,0,144,1311.500,519.500
9,DSC_0264.JPG,0,79,1267.500,603.500
10,DSC_0264.JPG,0,114,1239.500,463.500
11,DSC_0264.JPG,0,106,1427.500,375.500
12,DSC_0264.JPG,0,129,1691.500,391.500
13,DSC_0264.JPG,0,73,1927.500,395.500
14,DSC_0264.JPG,0,92,1951.500,563.500
15,DSC_0264.JPG,0,206,1907.500,503.500
16,DSC_0264.JPG,0,100,1627.500,859.500
17,DSC_0264.JPG,0,90,1627.500,1035.500
18,DSC_0264.JPG,0,108,1591.500,1175.500
19,DSC_0264.JPG,0,70,1435.500,1219.500
20,DSC_0264.JPG,0,149,1391.500,1231.500
21,DSC_0264.JPG,0,142,1823.500,1171.500
22,DSC_0264.JPG,0,174,1943.500,1223.500
23,DSC_0264.JPG,0,153,1659.500,1363.500
24,DSC_0264.JPG,0,203,1635.500,1443.500
25,DSC_0264.JPG,0,112,1995.500,1767.500
26,DSC_0264.JPG,0,113,2111.500,1819.500
27,DSC_0264.JPG,0,68,2235.500,1859.500
28,DSC_0264.JPG,0,99,2203.500,1623.500
29,DSC_0264.JPG,0,107,2227.500,1519.500
30,DSC_0264.JPG,0,116,2323.500,1647.500
31,DSC_0264.JPG,0,75,2447.500,1759.500
32,DSC_0264.JPG,0,120,2551.500,1787.500
33,DSC_0264.JPG,0,80,2687.500,1583.500
34,DSC_0264.JPG,0,167,2787.500,1519.500
35,DSC_0264.JPG,0,140,2823.500,1459.500
36,DSC_0264.JPG,0,116,2567.500,1247.500
37,DSC_0264.JPG,0,131,2567.500,1167.500
38,DSC_0264.JPG,0,52,2759.500,939.500
39,DSC_0264.JPG,0,108,2823.500,883.500
40,DSC_0264.JPG,0,114,2511.500,627.500
41,DSC_0264.JPG,0,109,2487.500,479.500
42,DSC_0264.JPG,0,196,2515.500,427.500
43,DSC_0264.JPG,0,120,2987.500,375.500
44,DSC_0264.JPG,0,40,3223.500,495.500
45,DSC_0264.JPG,0,151,3347.500,671.500
46,DSC_0264.JPG,0,106,3395.500,919.500
47,DSC_0264.JPG,0,109,3411.500,1075.500
48,DSC_0264.JPG,0,89,3363.500,1323.500
49,DSC_0264.JPG,0,155,3367.500,1435.500
50,DSC_0264.JPG,0,114,3379.500,1643.500
51,DSC_0264.JPG,0,199,3407.500,1815.500
52,DSC_0264.JPG,0,119,3431.500,2107.500
53,DSC_0264.JPG,0,108,3411.500,2311.500
54,DSC_0264.JPG,0,92,3383.500,2519.500
55,DSC_0264.JPG,0,109,3391.500,2631.500
56,DSC_0264.JPG,0,114,3359.500,2883.500
57,DSC_0264.JPG,0,180,3351.500,2959.500
58,DSC_0264.JPG,0,130,3219.500,3215.500
59,DSC_0264.JPG,0,144,2979.500,3375.500
60,DSC_0264.JPG,0,114,2911.500,3403.500
61,DSC_0264.JPG,0,152,3107.500,3199.500
62,DSC_0264.JPG,0,160,3163.500,3143.500
63,DSC_0264.JPG,0,119,2863.500,2767.500
64,DSC_0264.JPG,0,151,2859.500,2643.500
65,DSC_0264.JPG,0,78,2807.500,2627.500
66,DSC_0264.JPG,0,115,2635.500,2535.500
67,DSC_0264.JPG,0,157,2559.500,2451.500
68,DSC_0264.JPG,0,136,2519.500,2407.500
69,DSC_0264.JPG,0,173,2435.500,2327.500
70,DSC_0264.JPG,0,184,2267.500,2179.500
71,DSC_0264.JPG,0,167,2219.500,2107.500
72,DSC_0264.JPG,0,181,2255.500,1975.500
73,DSC_0264.JPG,0,108,2319.500,1907.500
74,DSC_0264.JPG,0,139,2371.500,1843.500
75,DSC_0264.JPG,0,71,1907.500,1803.500
76,DSC_0264.JPG,0,168,1851.500,1879.500
77,DSC_0264.JPG,0,93,1755.500,1979.500
78,DSC_0264.JPG,0,143,1687.500,2051.500
79,DSC_0264.JPG,0,45,1567.500,2047.500
80,DSC_0264.JPG,0,113,1475.500,1979.500
81,DSC_0264.JPG,0,61,1351.500,1895.500
82,DSC_0264.JPG,0,122,1287.500,1843.500
83,DSC_0264.JPG,0,35,1047.500,1835.500
84,DSC_0264.JPG,0,191,939.500,1851.500
85,DSC_0264.JPG,0,85,955.500,1987.500
86,DSC_0264.JPG,0,188,991.500,2147.500
87,DSC_0264.JPG,0,142,1007.500,2151.500
88,DSC_0264.JPG,0,121,1095.500,1815.500
89,DSC_0264.JPG,0,111,1015.500,1675.500
90,DSC_0264.JPG,0,129,1003.500,1511.500
91,DSC_0264.JPG,0,95,971.500,1591.500
92,DSC_0264.JPG,0,174,899.500,1787.500
93,DSC_0264.JPG,0,118,831.500,1807.500
94,DSC_0264.JPG,0,146,599.500,1747.500
95,DSC_0264.JPG,0,117,399.500,1747.500
96,DSC_0264.JPG,0,138,351.500,1787.500
97,DSC_0264.JPG,0,177,331.500,1999.500
98,DSC_0264.JPG,0,43,367.500,2091.500
99,DSC_0264.JPG,0,177,427.500,2259.500
100,DSC_0264.JPG,0,126,443.500,2379.500
101,DSC_0264.JPG,0,46,499.500,2443.500
102,DSC_0264.JPG,0,190,723.500,2411.500
103,DSC_0264.JPG,0,198,743.500,2411.500
104,DSC_0264.JPG,0,91,651.500,2375.500
105,DSC_0264.JPG,0,128,623.500,2463.500
106,DSC_0264.JPG,0,128,567.500,2523.500
107,DSC_0264.JPG,0,186,443.500,2587.500
108,DSC_0264.JPG,0,192,423.500,2819.500
109,DSC_0264.JPG,0,82,435.500,2875.500
110,DSC_0264.JPG,0,172,507.500,3335.500
111,DSC_0264.JPG,0,131,567.500,3287.500
112,DSC_0264.JPG,0,111,475.500,3071.500
113,DSC_0264.JPG,0,154,531.500,3087.500
114,DSC_0264.JPG,0,148,667.500,3251.500
115,DSC_0264.JPG,0,92,763.500,3395.500
116,DSC_0264.JPG,0,143,679.500,3103.500
117,DSC_0264.JPG,0,194,607.500,3051.500
118,DSC_0264.JPG,0,151,723.500,3275.500
119,DSC_0264.JPG,0,51,847.500,3375.500
120,DSC_0264.JPG,0,168,903.500,3363.500
121,DSC_0264.JPG,0,58,1027.500,3455.500
122,DSC_0264.JPG,0,101,1059.500,3459.500
123,DSC_0264.JPG,0,173,1567.500,3515.500
124,DSC_0264.JPG,0,137,1615.500,3479.500
125,DSC_0264.JPG,0,139,1647.500,3375.500
126,DSC_0264.JPG,0,154,1655.500,3311.500
127,DSC_0264.JPG,0,171,1667.500,3307.500
128,DSC_0264.JPG,0,150,1307.500,3047.500
129,DSC_0264.JPG,0,132,1351.500,3071.500
130,DSC_0264.JPG,0,96,1379.500,3115.500
131,DSC_0264.JPG,0,29,1639.500,2659.500
132,DSC_0264.JPG,0,113,1655.500,2691.500
133,DSC_0264.JPG,0,100,1687.500,2759.500
134,DSC_0264.JPG,0,130,1871.500,2967.500
135,DSC_0264.JPG,0,104,1903.500,3019.500
136,DSC_0264.JPG,0,57,1955.500,3011.500
137,DSC_0264.JPG,0,70,1995.500,2983.500
138,DSC_0264.JPG,0,146,1987.500,3063.500
139,DSC_0264.JPG,0,114,1931.500,3091.500
140,DSC_0264.JPG,0,125,1915.500,3103.500
141,DSC_0264.JPG,0,143,2171.500,3355.500
142,DSC_0264.JPG,0,150,2159.500,3439.500
143,DSC_0264.JPG,0,164,2155.500,3495.500
144,DSC_0264.JPG,0,134,2263.500,3527.500
145,DSC_0264.JPG,0,84,2359.500,3511.500
146,DSC_0264.JPG,0,118,2327.500,3415.500
147,DSC_0264.JPG,0,117,2295.500,3403.500
148,DSC_0264.JPG,0,126,2375.500,3463.500
149,DSC_0264.JPG,0,98,2655.500,3543.500
150,DSC_0264.JPG,0,112,2811.500,3539.500
151,DSC_0264.JPG,0,116,2939.500,3523.500
152,DSC_0264.JPG,0,89,2939.500,3471.500
153,DSC_0264.JPG,0,134,2487.500,3083.500
154,DSC_0264.JPG,0,149,2503.500,3051.500
155,DSC_0264.JPG,0,141,2519.500,3047.500
156,DSC_0264.JPG,0,44,2543.500,3063.500
157,DSC_0264.JPG,0,164,2555.500,3075.500
